"序号","产品编码","型号","产品ID","产品名称","接头类型","数据来源类型","当前状态","详情Slug","详情链接","主图字段","主图引用路径","实际匹配路径","检查结果","建议动作","数据文件","数据位置"
"103","809445","BT-32D-32D-16D-PA-W","809445","BT-32D-32D-16D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-32d-16d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-32d-16d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5480 行"
"104","809446","BT-24D-24D-16D-PP-N","809446","BT-24D-24D-16D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24d-24d-16d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24d-24d-16d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5539 行"
"105","809447","BT-24D-24D-16D-PA-W","809447","BT-24D-24D-16D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24d-24d-16d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24d-24d-16d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5598 行"
"106","809448","BT-32D-32D-24D-PP-N","809448","BT-32D-32D-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-32d-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-32d-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5657 行"
"107","809449","BT-32D-32D-24D-PA-W","809449","BT-32D-32D-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-32d-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-32d-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5716 行"
"108","809450","BT-64D-64D-32D-PP-N","809450","BT-64D-64D-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-64d-64d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-64d-64d-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5775 行"
"109","809451","BT-64D-64D-32D-PA-W","809451","BT-64D-64D-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-64d-64d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-64d-64d-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5834 行"
"110","809452","BT-24D-32D-32D-PP-N","809452","BT-24D-32D-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24d-32d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24d-32d-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5893 行"
"111","809453","BT-24D-32D-32D-PA-W","809453","BT-24D-32D-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24d-32d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24d-32d-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5952 行"
"112","809454","BT-32D-16D-16D-PP-N","809454","BT-32D-16D-16D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-16d-16d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-16d-16d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6011 行"
"113","809455","BT-32D-16D-16D-PA-W","809455","BT-32D-16D-16D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-16d-16d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-16d-16d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6070 行"
"114","809456","BT-32D-24D-24D-PP-N","809456","BT-32D-24D-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-24d-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-24d-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6129 行"
"115","809457","BT-32D-24D-24D-PA-W","809457","BT-32D-24D-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-24d-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-24d-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6188 行"
"116","809458","BT-32D-64T-64T-PP-N","809458","BT-32D-64T-64T-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-64t-64t-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-64t-64t-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6247 行"
"117","809459","BT-32D-64T-64T-PA-W","809459","BT-32D-64T-64T-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-64t-64t-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-64t-64t-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6306 行"
"118","809460","BT-64V-95V-95V-PP-N","809460","BT-64V-95V-95V-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-64v-95v-95v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-64v-95v-95v-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6365 行"
"119","809461","BT-64V-95V-95V-PA-W","809461","BT-64V-95V-95V-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-64v-95v-95v-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-64v-95v-95v-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6424 行"
"120","809519","BA-24C-48C-PP-N","809519","BA-24C-48C-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24c-48c-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24c-48c-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2393 行"
"121","809520","BA-24C-48C-PA-W","809520","BA-24C-48C-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24c-48c-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24c-48c-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2451 行"
"122","809521","BT-16D-PP-N","809521","BT-16D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-16d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-16d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6542 行"
"123","809545","BT-16D-PA-W","809545","BT-16D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-16d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-16d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6601 行"
"124","809547","BA-16C-PP-N","809547","BA-16C-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16c-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16c-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 1639 行"
"125","809604","BA-16D-24D-PP-N","809604","BA-16D-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16d-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 1697 行"
"126","809605","BA-16D-24D-PA-W","809605","BA-16D-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16d-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 1755 行"
"127","809606","BA-24D-32D-PP-N","809606","BA-24D-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 1813 行"
"128","809607","BA-24D-32D-PA-W","809607","BA-24D-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 1871 行"
"129","809608","BY-24D-PP-N","809608","BY-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 8607 行"
"130","809609","BY-24D-PA-W","809609","BY-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 8666 行"
"131","809610","BT-24D-PP-N","809610","BT-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6660 行"
"132","809611","BT-24D-PA-W","809611","BT-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6719 行"
"133","809621","BT-32D-PP-N","809621","BT-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6778 行"
"134","809622","BT-32D-PA-W","809622","BT-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6837 行"
"135","809623","BY-16D-PP-N","809623","BY-16D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-16d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-16d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 8725 行"
"136","809624","BY-16D-PA-W","809624","BY-16D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-16d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-16d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 8784 行"
"137","809625","BA-24D-PP-N","809625","BA-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 1929 行"
"138","809626","BA-24D-PA-W","809626","BA-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 1987 行"
"139","809627","BA-32D-PP-N","809627","BA-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2045 行"
"140","809628","BA-32D-PA-W","809628","BA-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2103 行"
"141","809629","BA-16D-32D-PP-N","809629","BA-16D-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2161 行"
"142","809630","BA-16D-32D-PA-W","809630","BA-16D-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2219 行"
"143","809632","BL-16D-PP-N","809632","BL-16D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-16d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3901 行"
"144","809633","BL-16D-PA-W","809633","BL-16D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-16d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3959 行"
"145","809634","BL-24D-PP-N","809634","BL-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4017 行"
"146","809635","BL-24D-PA-W","809635","BL-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4075 行"
"147","809636","BL-32D-PP-N","809636","BL-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4133 行"
"148","809637","BL-32D-PA-W","809637","BL-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4191 行"
"149","809638","BL-16D-24D-PP-N","809638","BL-16D-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-16d-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16d-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4249 行"
"150","809639","BL-16D-24D-PA-W","809639","BL-16D-24D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-16d-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16d-24d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4307 行"
"151","809640","BL-24D-32D-PP-N","809640","BL-24D-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-24d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-24d-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4365 行"
"152","809641","BL-24D-32D-PA-W","809641","BL-24D-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-24d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-24d-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4423 行"
"153","809642","BL-16D-32D-PP-N","809642","BL-16D-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-16d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16d-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4481 行"
"154","809643","BL-16D-32D-PA-W","809643","BL-16D-32D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-16d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16d-32d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4539 行"
"155","809644","BT-127V-PP-N","809644","BT-127V-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-127v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-127v-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6896 行"
"156","809645","BL-127V-PP-N","809645","BL-127V-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-127v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-127v-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4597 行"
"157","809646","BY-127V-PP-N","809646","BY-127V-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-127v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-127v-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 8843 行"
"158","809788","BA-16F-24F-PV-N","809788","BA-16F-24F-PV-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16f-24f-pv-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-24f-pv-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2335 行"
