映射来源,替代数据位置,替代数据商品编码,替代数据FOREACH型号,竞品型号数量,竞品型号,匹配状态,匹配方式,正式数据匹配数,产品中心商品编码,产品中心FOREACH型号,产品中心Slug,产品中心详情链接,产品中心标题,建议桥接键
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[115],839015,Q2004-PNX-SACN,2,PMC2204 | 20AC-PB2-04,唯一匹配,productCode + foreachModel,1,839015,Q2004-PNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[116],839059,Q2004-PNX-SPPE,2,PMC220412 | 20PP-PE2-04MALD,唯一匹配,productCode + foreachModel,1,839059,Q2004-PNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[117],839033,Q2004-SMV-SACN,2,PMCD1604 | 20ACV-SB3-04,唯一匹配,productCode + foreachModel,1,839033,Q2004-SMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[118],839077,Q2004-SMV-SPPE,2,PMCD160412 | 20PPV-SE3-04MALD,唯一匹配,productCode + foreachModel,1,839077,Q2004-SMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[119],839011,Q2004-SMX-SACN,2,PMC1604 | 20AC-S3-04,唯一匹配,productCode + foreachModel,1,839011,Q2004-SMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[120],839055,Q2004-SMX-SPPE,2,PMC160412 | 20PP-S3-04MALD,唯一匹配,productCode + foreachModel,1,839055,Q2004-SMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[121],839028,Q2004-SNV-LACN,1,20ACV-SB4-04,唯一匹配,productCode + foreachModel,1,839028,Q2004-SNV-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[122],839026,Q2004-SNV-SACN,2,PMCD1704 | 20ACV-SB2-04,唯一匹配,productCode + foreachModel,1,839026,Q2004-SNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[123],839070,Q2004-SNV-SPPE,2,PMCD170412 | 20PPV-SE2-04MALD,唯一匹配,productCode + foreachModel,1,839070,Q2004-SNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[124],839006,Q2004-SNX-LACN,1,20AC-S4-04,唯一匹配,productCode + foreachModel,1,839006,Q2004-SNX-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[125],839004,Q2004-SNX-SACN,2,PMC1704 | 20AC-S2-04,唯一匹配,productCode + foreachModel,1,839004,Q2004-SNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[126],839048,Q2004-SNX-SPPE,2,PMC170412 | 20PP-S2-04MALD,唯一匹配,productCode + foreachModel,1,839048,Q2004-SNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[127],839040,Q2018N-PNV-SACN,2,PMCD2402 | 20ACV-PB1-02,唯一匹配,productCode + foreachModel,1,839040,Q2018N-PNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[128],839084,Q2018N-PNV-SPPE,2,PMCD240212 | 20PPV-PE1-02MALD,唯一匹配,productCode + foreachModel,1,839084,Q2018N-PNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[129],839018,Q2018N-PNX-SACN,2,PMC2402 | 20AC-PB1-02,唯一匹配,productCode + foreachModel,1,839018,Q2018N-PNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[130],839062,Q2018N-PNX-SPPE,2,PMC240212 | 20PP-PE1-02MALD,唯一匹配,productCode + foreachModel,1,839062,Q2018N-PNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[131],839109,Q2018T-SNV-SACN,2,PMCD1002 | 20ACV-SB1-02,唯一匹配,productCode + foreachModel,1,839109,Q2018T-SNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[132],839097,Q2018T-SNV-SPPE,2,PMCD100212 | 20PPV-SE1-02-MALD,唯一匹配,productCode + foreachModel,1,839097,Q2018T-SNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[133],839110,Q2018T-SNX-SACN,2,PMC1002 | 20AC-S1-02,唯一匹配,productCode + foreachModel,1,839110,Q2018T-SNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[134],839104,Q2018T-SNX-SPPE,2,PMC100212 | 20PP-S1-02-MALD,唯一匹配,productCode + foreachModel,1,839104,Q2018T-SNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[227],809728,HN-M6-16-PK-N,1,WF07B-M6K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[228],809729,HN-M6-32-PK-N,1,WP07B-M6K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[229],809726,HN-U28-16-PK-N,1,WF07B-28K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[230],809727,HN-U28-32-PK-N,1,WP07B-28K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[231],809732,HN6-M6-16-PK-N,1,WF09B-M6K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[232],809733,HN6-M6-32-PK-N,1,WP08B-M6K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[233],809730,HN6-U28-16-PK-N,1,WF09B-28K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[234],809923,HN6-U28-32-PK-B,1,WP08B-28K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[235],809753,HF6-U28-20-PS-B,1,WF21B-1/4-S-黑,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[236],809755,HF6-U28-25-PS-B,1,WF26B-1/4-S-黑,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[237],809757,HF6-U28-32-PS-B,1,WF33B-1/4-S-黑,未匹配,未匹配,0,,,,,,人工确认
