"序号","产品名称","产品编码","型号","Slug","产品类别/系列","检查结果","主图字段","主图引用路径","实际匹配路径","数据文件","数据位置","建议动作"
"304","","809295","BY-24F-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7368 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"305","","809296","BY-32F-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7427 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"306","","809297","BY-40D-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7486 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"307","","809298","BY-64F-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7545 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"308","","809326","BY-24F-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7604 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"309","","809334","BY-16F-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7663 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"310","","809335","BY-32F-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7722 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"311","","809336","BY-64F-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7781 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"312","","809341","BY-48F-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7840 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"313","","809343","BY-48F-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7899 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"314","","809369","BY-40D-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 7958 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"315","","809380","BY-24D-16D-16D-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8017 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"316","","809381","BY-24D-16D-16D-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8076 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"317","","809430","BY-32D-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8135 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"318","","809431","BY-32D-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8194 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"319","","809432","BY-95X-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8253 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"320","","809433","BY-95X-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8312 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"321","","809434","BY-32D-16D-16D-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8371 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"322","","809435","BY-32D-16D-16D-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8430 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"323","","809436","BY-64D-32D-32D-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8489 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"324","","809437","BY-64D-32D-32D-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8548 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"325","","809608","BY-24D-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8607 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"326","","809609","BY-24D-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8666 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"327","","809623","BY-16D-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8725 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"328","","809624","BY-16D-PA-W","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8784 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"329","","809646","BY-127V-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8843 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"330","","806208","BY-64-40-40-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8902 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"331","","806282","BY-79-PP-N","","Y型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 8961 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"332","","806224","BF4-16-PP-N","","π型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9020 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"333","","806055","BF4-24-PP-N","","π型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9077 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"334","","806189","BF4-32-PP-N","","π型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9134 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"335","","806220","BX4-16-PP-N","","十字型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9191 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"336","","806192","BX4-24-PP-N","","十字型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9248 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"337","","806221","BX4-32-PP-N","","十字型倒刺接头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9305 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"338","","809283","BBL-16D-PP-N","","倒刺堵头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9362 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"339","","809284","BBL-24D-PP-N","","倒刺堵头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9419 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"340","","809285","BBL-32D-PP-N","","倒刺堵头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9476 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"341","","809406","BBL-16D-PA-W","","倒刺堵头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9533 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"342","","809407","BBL-24D-PA-W","","倒刺堵头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9590 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"343","","809408","BBL-32D-PA-W","","倒刺堵头","未配置主图字段","","","",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/selection/barbed-fitting-selection.generated.ts","第 9647 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"344","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.jpeg",".local-backups/fep-configurator-integration-2026-07-17T22-48-50-300Z/ProductDetailClient.tsx","第 960 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"345","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.jpeg",".local-backups/fep-configurator-integration-2026-07-17T22-48-50-300Z/ProductDetailClient.tsx","第 996 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"346","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\Product gallery.jpeg",".local-backups/peek-configurator-integration-2026-07-17T23-07-54-632Z/ProductDetailClient.tsx","第 1008 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"347","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-configurator-integration-2026-07-17T23-07-54-632Z\产品图片区域.jpeg",".local-backups/peek-configurator-integration-2026-07-17T23-07-54-632Z/ProductDetailClient.tsx","第 1044 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"348","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\Product gallery.jpeg",".local-backups/peek-integration-final-2026-07-17T23-14-30-217Z/ProductDetailClient.tsx","第 1008 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"349","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\peek-integration-final-2026-07-17T23-14-30-217Z\产品图片区域.jpeg",".local-backups/peek-integration-final-2026-07-17T23-14-30-217Z/ProductDetailClient.tsx","第 1044 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"350","PEEK管","","","","","未配置主图字段","","","",".local-backups/peek-tubing-data-20260718-070557/peek-tubing.ts","第 41 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"351","PEEK Tubing","","","","","未配置主图字段","","","",".local-backups/peek-tubing-data-20260718-070557/peek-tubing.ts","第 105 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"352","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\Product gallery.jpeg",".local-backups/pfa-configurator-integration-2026-07-17T23-21-32-469Z/ProductDetailClient.tsx","第 1032 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"353","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pfa-configurator-integration-2026-07-17T23-21-32-469Z\产品图片区域.jpeg",".local-backups/pfa-configurator-integration-2026-07-17T23-21-32-469Z/ProductDetailClient.tsx","第 1068 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"354","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\Product gallery.jpeg",".local-backups/ptfe-configurator-integration-2026-07-17T23-01-28-207Z/ProductDetailClient.tsx","第 984 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"355","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\ptfe-configurator-integration-2026-07-17T23-01-28-207Z\产品图片区域.jpeg",".local-backups/ptfe-configurator-integration-2026-07-17T23-01-28-207Z/ProductDetailClient.tsx","第 1020 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"356","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\Product gallery.jpeg",".local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/ProductDetailClient.tsx","第 933 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"357","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-en-2026-07-17T13-20-39-973Z\产品图片区域.jpeg",".local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/ProductDetailClient.tsx","第 969 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"358","PVC管","","","","","未配置主图字段","","","",".local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/pvc-tubing.ts","第 440 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"359","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\Product gallery.jpeg",".local-backups/pvc-configurator-integration-2026-07-17T09-52-02-481Z/ProductDetailClient.tsx","第 901 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"360","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-configurator-integration-2026-07-17T09-52-02-481Z\产品图片区域.jpeg",".local-backups/pvc-configurator-integration-2026-07-17T09-52-02-481Z/ProductDetailClient.tsx","第 937 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"361","PVC管","","","","","未配置主图字段","","","",".local-backups/pvc-empty-initial-state-2026-07-17T13-03-44-886Z/pvc-tubing.ts","第 440 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"362","PVC管","","","","","未配置主图字段","","","",".local-backups/pvc-hide-product-name-2026-07-17T13-00-29-019Z/pvc-tubing.ts","第 440 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"363","","Product Code","Model:","","","图片文件不存在","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\Product gallery.jpeg",".local-backups/pvc-multi-cart-2026-07-17T12-56-06-536Z/ProductDetailClient.tsx","第 933 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"364","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\pvc-multi-cart-2026-07-17T12-56-06-536Z\产品图片区域.jpeg",".local-backups/pvc-multi-cart-2026-07-17T12-56-06-536Z/ProductDetailClient.tsx","第 969 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"365","TPU管","","","","","未配置主图字段","","","",".local-backups/remove-tpu-436075-2026-07-17T16-05-27-549Z/tpu-tubing.ts","第 216 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"366","TPU Tubing","","","","","未配置主图字段","","","",".local-backups/remove-tpu-436075-2026-07-17T16-05-27-549Z/tpu-tubing.ts","第 308 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"367","TPU管","","","","","未配置主图字段","","","",".local-backups/remove-tpu-436075-20260718-001046/tpu-tubing.ts","第 216 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"368","TPU Tubing","","","","","未配置主图字段","","","",".local-backups/remove-tpu-436075-20260718-001046/tpu-tubing.ts","第 308 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"369","TPU管","","","","","未配置主图字段","","","",".local-backups/remove-tpu-bu9b02004-2026-07-17T16-03-34-522Z/tpu-tubing.ts","第 216 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"370","TPU Tubing","","","","","未配置主图字段","","","",".local-backups/remove-tpu-bu9b02004-2026-07-17T16-03-34-522Z/tpu-tubing.ts","第 308 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"371","TPU管","","","","","未配置主图字段","","","",".local-backups/tpu-align-pvc-2026-07-17T15-59-08-481Z/tpu-tubing.ts","第 242 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"372","TPU Tubing","","","","","未配置主图字段","","","",".local-backups/tpu-align-pvc-2026-07-17T15-59-08-481Z/tpu-tubing.ts","第 345 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"373","TPU管","","","","","未配置主图字段","","","",".local-backups/tpu-column-flow-2026-07-17T15-46-53-884Z/tpu-tubing.ts","第 242 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"374","TPU Tubing","","","","","未配置主图字段","","","",".local-backups/tpu-column-flow-2026-07-17T15-46-53-884Z/tpu-tubing.ts","第 345 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"375","TPU管","","","","","未配置主图字段","","","",".local-backups/tpu-column-flow-v2-2026-07-17T15-48-49-068Z/tpu-tubing.ts","第 242 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"376","TPU Tubing","","","","","未配置主图字段","","","",".local-backups/tpu-column-flow-v2-2026-07-17T15-48-49-068Z/tpu-tubing.ts","第 345 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
